species,num_sequences,num_families,num_superfamilies,num_orders,families,superfamilies,orders,length_min,length_max,length_mean,length_median,gc_mean,gc_median,accession,assembly_name,gc_percent,n50,source,organism_type,max_copies_calculated,min_copies_calculated
Ricinus communis,97,11,4,2,"COPIA,GYPSY,HAT,HELITRON,L1,LTR,MULE,PIFHARBINGER,RTE,TC1MARINER,TIR","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",405,13140,5314.216494845361,4974,38.08236448228346,38.57142857142858,GCF_019578655.1,ASM1957865v1,33.0,7311548,refseq,planta,106,87
Procavia capensis,96,6,4,2,"ERV,L1,PIGGYBAC,RTE,TC1MARINER,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",164,8786,1851.4479166666667,559,49.032050513857115,49.20318725099602,GCA_000152225.2,Pcap_2.0,41.0,35792,refseq,animal,309,253
Andrena haemorrhoa,96,14,5,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LARD,LTR,PIGGYBAC,R1,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",735,16917,6335.791666666667,6392,43.730027033276535,42.69420468557337,GCA_910592295.1,iyAndHaem1.1,44.0,13237341,refseq,animal,90,73
Tetrapyrgos nigripes,95,11,5,2,"COPIA,DIRS,GYPSY,HAT,HELITRON,L1,LINE,PIFHARBINGER,RTE,TC1MARINER,TIR","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",605,10290,6046.4,6665,44.69217661590216,45.26037916966643,GCA_013368315.1,LU_TEN_1.0,46.0,343893,refseq,hongo,95,78
Mugil cephalus,95,13,5,2,"BELPAO,CR1,DIRS,ERV,GYPSY,HAT,L1,LINE,PIGGYBAC,RTE,SINE,TC1MARINER,TIR","DIRS,LINE,LTR,SINE,TIR","CLASSI,CLASSII",142,9301,2082.4736842105262,1507,44.44289726221758,42.81481481481482,GCF_022458985.1,CIBA_Mcephalus_1.1,42.0,20153794,refseq,animal,278,227
Alloplasta piceator,95,15,5,2,"BELPAO,CR1,DIRS,GYPSY,HAT,HELITRON,I,LARD,LINE,MULE,P,PIGGYBAC,R1,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",573,14281,5258.968421052631,5282,43.723990158919264,43.52839434995676,GCA_946863875.1,iyAllPice1.1,36.0,1119203,refseq,animal,110,90
Spermophilus dauricus,94,5,3,1,"ALU,ERV,L1,LTR,SINE","LINE,LTR,SINE",CLASSI,85,8963,1630.6382978723404,652,46.73758874076104,47.40634005763689,GCA_002406435.1,ASM240643v1,40.0,34849,refseq,animal,358,293
Neogobius melanostomus,94,5,3,2,"COPIA,DIRS,ERV,GYPSY,TC1MARINER","DIRS,LTR,TIR","CLASSI,CLASSII",875,13792,6508.829787234043,6100,49.28359174073705,48.170038645146626,GCA_007210695.1,RGoby_Basel_V2,41.5,2817412,refseq,animal,89,73
Phalacrocorax carbo,94,8,4,2,"CR1,ERV,GYPSY,HAT,LARD,LINE,LTR,SINE","LINE,LTR,SINE,TIR","CLASSI,CLASSII",100,8353,3462.021276595745,3981,51.46797613017147,52.16726160122387,GCF_963921805.1,bPhaCar2.1,43.5,4631399,refseq,animal,169,138
Indicator indicator,93,4,4,2,"CR1,CRYPTON,ERV,TIR","CRYPTON,LINE,LTR,TIR","CLASSI,CLASSII",172,7667,2661.3225806451615,2993,51.52663545034274,51.712707182320436,GCF_027791375.1,UM_Iind_1.1,43.5,8710530,refseq,animal,222,181
Juncus effusus,93,8,4,2,"CACTA,COPIA,GYPSY,HAT,HELITRON,L1,LARD,MULE","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",510,14657,4854.612903225807,5087,40.64590724871182,40.59139784946236,GCA_027726005.1,MPIPZ_junEff1m_1,33.5,10907635,refseq,planta,121,99
Arachis hypogaea,93,7,4,2,"CACTA,GYPSY,HAT,HELITRON,MULE,PIFHARBINGER,TRNA","HELITRON,LTR,SINE,TIR","CLASSI,CLASSII",186,19429,7143.354838709677,5904,39.522898468525455,38.704753597906674,GCF_003086295.3,arahy.Tifrunner.gnm2.J5K5,36.5,1493114,refseq,planta,82,67
Leptopilina boulardi,93,15,5,2,"BELPAO,CACTA,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LINE,MULE,PIGGYBAC,R1,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",611,11626,5509.591397849463,5349,35.38044293206415,35.12634204533131,GCF_019393585.1,ZJU_Lbou_2.1,28.0,1941709,refseq,animal,107,87
Spelaeornis formosus,93,6,4,2,"CR1,ERV,LARD,SINE,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",117,7632,2547.978494623656,1437,48.38418751709248,48.61710225831008,GCA_013398795.1,ASM1339879v1,41.0,43159,refseq,animal,232,189
Rhizomys pruinosus,93,5,3,1,"ALU,ERV,L1,LTR,SINE","LINE,LTR,SINE",CLASSI,154,6199,1615.9354838709678,1342,46.48416164187654,46.9601677148847,GCA_009823505.1,RhiPru_1.0,41.5,103291,refseq,animal,365,299
Albula goreensis,93,10,4,2,"BELPAO,CR1,ERV,GYPSY,L1,LARD,LINE,RTE,SINE,TC1MARINER","LINE,LTR,SINE,TIR","CLASSI,CLASSII",154,8235,3738.483870967742,3714,48.0798183001536,49.82104509663564,GCA_022829145.1,AGOR_1.0,41.5,17514905,refseq,animal,158,129
Rhodocollybia butyracea,92,8,4,2,"COPIA,DIRS,GYPSY,HELITRON,L1,LARD,LTR,RTE","DIRS,HELITRON,LINE,LTR","CLASSI,CLASSII",1356,14691,5469.010869565217,5166,48.07900157519202,48.12233836624081,GCA_015501585.1,Rhobut1_1,45.5,155419,refseq,hongo,109,89
Drosophila ficusphila,92,18,5,2,"BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,KOLOBOK,MERLIN,MULE,PIFHARBINGER,PIGGYBAC,PLE,R1,RTE,TC1MARINER,TIR","HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",184,9862,2850.413043478261,1709,40.040156994972975,37.99705449189985,GCF_018152265.1,ASM1815226v1,41.0,9958166,refseq,animal,209,171
Agelas oroides,92,13,5,2,"BELPAO,CR1,DIRS,GYPSY,HAT,HELITRON,I,LINE,MERLIN,MULE,PIFHARBINGER,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",960,8779,3588.0434782608695,3617,45.99707847631597,46.15062761506276,GCA_949130485.1,odAgeOroi1.1,44.5,2293598,refseq,animal,166,136
Atlantisia rogersi,92,9,5,2,"CR1,CRYPTON,ERV,LARD,MERLIN,SINE,TC1MARINER,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",102,5978,1921.391304347826,1257,50.153762974984254,50.810429880197326,GCA_013401215.1,ASM1340121v1,43.5,36139,refseq,animal,311,254
Helicoverpa armigera,91,6,4,2,"BELPAO,COPIA,DIRS,GYPSY,TC1MARINER,TRNA","DIRS,LTR,SINE,TIR","CLASSI,CLASSII",306,8746,5824.043956043956,5950,41.234469584254676,40.706605222734254,GCF_030705265.1,ASM3070526v1,36.5,11585164,refseq,animal,103,84
Hypocryptadius cinnamomeus,91,9,5,2,"CR1,CRYPTON,ERV,LTR,PIFHARBINGER,SINE,TC1MARINER,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",120,4118,896.2417582417582,576,47.14202542414226,48.97959183673469,GCA_013400635.1,ASM1340063v1,43.0,23460,refseq,animal,674,551
Burhinus oedicnemus,91,8,4,2,"CR1,ERV,GYPSY,HAT,P,SINE,TC1MARINER,TIR","LINE,LTR,SINE,TIR","CLASSI,CLASSII",147,4609,2899.3846153846152,3131,51.49833932022172,52.02147820593809,GCA_008921705.1,REN_Boedic_1.0,42.0,93678,refseq,otro,208,170
Chloropsis cyanopogon,90,8,5,2,"CR1,CRYPTON,ERV,HAT,LTR,SINE,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",116,3730,1059.2444444444445,668,46.51212228960529,48.756218905472636,GCA_013400585.1,ASM1340058v1,42.5,24720,refseq,animal,576,472
Hippoglossus hippoglossus,88,12,5,2,"CR1,DIRS,GYPSY,HAT,I,L1,LARD,LINE,PIFHARBINGER,SINE,TC1MARINER,TIR","DIRS,LINE,LTR,SINE,TIR","CLASSI,CLASSII",110,9657,2510.7727272727275,1628,45.03022148826268,43.960149439601494,N/A,N/A,,,failed,animal,248,203
Indicator maculatus,88,6,4,2,"CR1,ERV,HAT,LARD,SINE,TIR","LINE,LTR,SINE,TIR","CLASSI,CLASSII",116,3515,1670.6931818181818,1400,51.92043500056993,51.56462585034014,N/A,N/A,,,failed,animal,374,306
Cannabis sativa,88,8,3,2,"COPIA,GYPSY,HAT,HELITRON,LTR,MULE,PIFHARBINGER,TC1MARINER","HELITRON,LTR,TIR","CLASSI,CLASSII",194,14082,5555.693181818182,6286,37.27814957079337,37.105909005097224,N/A,N/A,,,failed,desconocido,112,92
Linepithema humile,88,16,5,2,"BELPAO,CACTA,COPIA,GYPSY,HAT,HELITRON,I,KOLOBOK,LTR,MULE,P,PIFHARBINGER,PIGGYBAC,PLE,R1,TC1MARINER","HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",616,19185,4476.579545454545,4725,40.989351996978456,41.48834238262536,N/A,N/A,,,failed,desconocido,139,114
Pygocentrus nattereri,88,4,2,2,"BELPAO,ERV,GYPSY,TC1MARINER","LTR,TIR","CLASSI,CLASSII",623,14008,6730.068181818182,7127,46.31613782266363,45.622451427200765,N/A,N/A,,,failed,desconocido,92,75
Eragrostis tef,88,12,5,2,"CACTA,COPIA,GYPSY,HELITRON,L1,LTR,P,PIFHARBINGER,RTE,SINE,TIR,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",100,8519,2165.5,1626,47.16274115376553,45.72490706319702,N/A,N/A,,,failed,desconocido,288,236
Anas platyrhynchos,88,8,4,2,"CR1,ERV,GYPSY,LTR,SINE,TC1MARINER,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",120,11189,3110.375,3682,51.623406630620345,53.136382031566164,N/A,N/A,,,failed,desconocido,200,164
Gymnobelideus leadbeateri,87,13,4,2,"ALU,CR1,ERV,HAT,L1,LARD,LINE,LTR,P,RTE,SINE,TC1MARINER,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",150,11579,1857.2068965517242,781,42.96253480028249,43.45762711864406,GCA_011680675.1,LBP_v1,39.0,500778,refseq,otro,340,278
Papilio polytes,87,17,6,2,"BELPAO,CACTA,CR1,DIRS,GYPSY,HAT,HELITRON,I,LINE,LTR,PIFHARBINGER,PIGGYBAC,R1,RTE,TC1MARINER,TIR,TRNA","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",111,5389,1204.8850574712644,721,39.88201118826505,38.80070546737213,N/A,N/A,,,failed,desconocido,524,429
Sinella curviseta,87,2,1,1,"BELPAO,GYPSY",LTR,CLASSI,4485,12850,6361.597701149425,6430,45.24938184461993,45.296922410056354,GCA_004115045.4,ASM411504v4,37.5,828651,refseq,animal,99,81
Bucco capensis,87,5,4,2,"CR1,CRYPTON,ERV,RTE,TIR","CRYPTON,LINE,LTR,TIR","CLASSI,CLASSII",254,3910,1694.8735632183907,1657,49.61530475940713,49.734325185972374,N/A,N/A,,,failed,animal,372,305
Ictalurus punctatus,87,9,5,2,"CR1,DIRS,ERV,GYPSY,HELITRON,L1,LARD,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",646,14441,3373.793103448276,2035,45.30442148070093,42.16,GCF_001660625.3,Coco_2.0,40.0,20961409,refseq,otro,187,153
Culicoides sonorensis,86,9,3,2,"COPIA,CR1,GYPSY,HAT,I,L1,LINE,R1,RTE","LINE,LTR,TIR","CLASSI,CLASSII",543,5033,3079.6744186046512,3391,35.681108128243665,33.33333333333333,GCA_047716325.1,idCulSono.KS.ABADRU.1.0.female,28.5,32631214,refseq,animal,207,169
Empidonax traillii,86,7,4,2,"CR1,ERV,HAT,RTE,SINE,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",113,6927,2113.7441860465115,1499,50.689606047426224,50.58317986494782,N/A,N/A,,,failed,animal,302,247
Cinclus mexicanus,86,6,4,2,"CR1,ERV,RTE,SINE,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",105,4477,1290.4767441860465,661,47.58514464985041,48.96214896214896,N/A,N/A,,,failed,desconocido,495,405
Cynara cardunculus,85,9,4,2,"COPIA,ERV,GYPSY,HAT,HELITRON,L1,LARD,LTR,TIR","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",833,13572,5234.764705882353,5116,40.191743081485164,40.66653036188919,GCF_001531365.2,CcrdV1.1,35.5,19407,refseq,otro,123,101
Solen grandis,85,12,3,2,"ACADEM-1,CR1,HAT,KOLOBOK,L1,LINE,MULE,PIFHARBINGER,RTE,SINE,TC1MARINER,TRNA","LINE,SINE,TIR","CLASSI,CLASSII",136,7085,3543.3882352941177,3873,39.17131113152041,38.47238542890717,N/A,N/A,,,failed,animal,182,149
Chrysopa pallens,85,12,4,2,"BELPAO,COPIA,CR1,GYPSY,HAT,HELITRON,I,L1,LINE,R1,RTE,TC1MARINER","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",672,8323,3415.7764705882355,3278,38.2776379298582,35.56375131717597,N/A,N/A,,,failed,desconocido,189,154
Yoshiicerus persimilis,84,11,4,2,"BELPAO,COPIA,CR1,GYPSY,HELITRON,LINE,P,PIGGYBAC,R1,RTE,TC1MARINER","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",1062,11579,4910.761904761905,4660,38.09604166243691,38.25250047178713,N/A,N/A,,,failed,animal,133,109
Dromiciops gliroides,84,15,4,2,"ALU,CR1,ERV,GYPSY,HAT,L1,LARD,LINE,LTR,P,RTE,SINE,TC1MARINER,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",107,6997,1357.0,745,42.783952296617855,42.584315318976024,N/A,N/A,,,failed,desconocido,482,394
Trichogramma brassicae,84,14,6,2,"BELPAO,COPIA,CR1,DIRS,GYPSY,HELITRON,I,LARD,LINE,PIFHARBINGER,PIGGYBAC,R1,SINE,TC1MARINER","DIRS,HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",369,13930,5267.0,5118,46.636613912962304,46.043693776390676,GCA_902806795.1,TRIGBR_hybrid,40.0,556663,refseq,otro,124,101
Calcarius ornatus,84,7,5,2,"CR1,CRYPTON,ERV,LARD,LTR,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",161,5903,1108.9880952380952,630,48.01493283057094,49.76331360946746,GCA_013397715.1,ASM1339771v1,42.0,52433,refseq,animal,590,483
Dunaliella primolecta,84,8,4,2,"COPIA,DIRS,GYPSY,HAT,L1,LINE,RTE,TIR","DIRS,LINE,LTR,TIR","CLASSI,CLASSII",1080,19516,4226.988095238095,4031,48.21292655947662,48.126591487813755,N/A,N/A,,,failed,desconocido,154,126
Citrullus lanatus,84,9,4,2,"CACTA,COPIA,GYPSY,HAT,L1,LARD,MULE,PIFHARBINGER,SINE","LINE,LTR,SINE,TIR","CLASSI,CLASSII",216,9648,4518.785714285715,5072,40.7918037284855,39.964511041009466,N/A,N/A,,,failed,planta,144,118
Setaria italica,84,8,5,2,"CACTA,COPIA,GYPSY,HAT,HELITRON,MULE,RTE,TRNA","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",153,14751,5806.452380952381,5314,51.15353823827098,50.18701870187019,N/A,N/A,,,failed,planta,112,92
Onychomys torridus,83,6,4,2,"ALU,ERV,HAT,L1,LTR,SINE","LINE,LTR,SINE,TIR","CLASSI,CLASSII",84,8729,1548.4096385542168,558,46.86032410292843,46.24277456647399,N/A,N/A,,,failed,desconocido,427,350
Dasypus novemcinctus,83,7,4,2,"ERV,HAT,L1,LTR,SINE,TC1MARINER,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",90,7252,1422.301204819277,576,48.80842595463496,47.81216648879402,GCF_030445035.2,mDasNov1.1.hap2,41.0,13963394,refseq,otro,465,381
Anabas testudineus,83,9,5,2,"CR1,ERV,GYPSY,HELITRON,I,LINE,RTE,SINE,TC1MARINER","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",311,9807,2373.710843373494,1624,44.94914553372429,43.656716417910445,N/A,N/A,,,failed,desconocido,279,228
Drosophila virilis,83,13,4,2,"BELPAO,CACTA,COPIA,CR1,GYPSY,HAT,HELITRON,I,P,PIFHARBINGER,R1,TC1MARINER,TIR","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",108,10725,4905.22891566265,5178,41.271745260329006,39.99119136754019,GCF_030788295.1,Dvir_AGI_RSII-ME,40.5,29144718,refseq,otro,135,110
Catharus fuscescens,82,9,5,2,"CR1,CRYPTON,ERV,LTR,MERLIN,RTE,SINE,TC1MARINER,TIR","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",190,3480,1024.2317073170732,601,46.95686326808043,48.6863444696724,GCA_013398975.1,ASM1339897v1,41.5,56061,refseq,animal,654,535
Drosophila rhopaloa,81,12,5,2,"BELPAO,CACTA,CR1,GYPSY,HAT,HELITRON,P,PIFHARBINGER,PLE,R1,RTE,TC1MARINER","HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",469,9925,3666.4691358024693,2908,40.662162682356666,38.61264579496624,N/A,N/A,,,failed,desconocido,185,151
Notospermus geniculatus,81,10,5,2,"CACTA,GYPSY,HAT,HELITRON,LTR,PIFHARBINGER,PIGGYBAC,PLE,TC1MARINER,TRNA","HELITRON,LTR,PLE,SINE,TIR","CLASSI,CLASSII",107,14889,2376.8395061728397,974,45.675949777674624,45.360059391239794,GCA_002633025.1,ASM263302v1,43.0,22604,refseq,otro,285,233
Actinidia chinensis,81,7,4,2,"COPIA,GYPSY,HAT,HELITRON,L1,LARD,RTE","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",767,10188,5332.827160493827,5219,40.98371727441085,40.828804347826086,GCA_051903715.1,ASM5190371v1,35.5,20705581,refseq,otro,127,104
Locustella ochotensis,81,8,5,2,"CR1,CRYPTON,ERV,HAT,LTR,TC1MARINER,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",107,5340,1180.6049382716049,656,48.045920896167566,48.670411985018724,GCA_013400155.1,ASM1340015v1,42.0,58272,refseq,otro,575,470
Drosophila yakuba,80,14,4,2,"BELPAO,CACTA,COPIA,GYPSY,HAT,HELITRON,I,LINE,MULE,P,PIFHARBINGER,R1,RTE,TC1MARINER","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",444,10985,5602.3,5397,41.81645530698115,40.97978227060653,N/A,N/A,,,failed,animal,122,100
Folsomia candida,80,15,6,2,"BELPAO,CACTA,COPIA,CR1,DIRS,GYPSY,HAT,HELITRON,L1,MULE,P,PIGGYBAC,PLE,RTE,TC1MARINER","DIRS,HELITRON,LINE,LTR,PLE,TIR","CLASSI,CLASSII",1284,10760,4534.725,4670,39.64429320774549,39.12515188335359,GCF_002217175.1,ASM221717v1,37.5,4885648,refseq,animal,151,124
Aplochiton taeniatus,79,9,4,2,"CR1,ERV,GYPSY,L1,LARD,LINE,RTE,SINE,TC1MARINER","LINE,LTR,SINE,TIR","CLASSI,CLASSII",363,8880,2915.3544303797466,1684,47.743636573682444,45.168476747424116,GCA_017639675.1,fAplTae1.pri,45.0,956540,refseq,animal,238,195
Monopterus albus,79,8,3,2,"CR1,HAT,I,L1,LINE,RTE,SINE,TC1MARINER","LINE,SINE,TIR","CLASSI,CLASSII",356,3773,1848.3164556962026,1628,44.78915179368748,42.125765164162495,GCF_001952655.1,M_albus_1.0,41.0,22239,refseq,animal,376,308
Nelumbo nucifera,79,6,3,2,"CACTA,COPIA,GYPSY,HAT,L1,RTE","LINE,LTR,TIR","CLASSI,CLASSII",619,11638,5683.949367088608,5288,43.359959884696885,42.915506035283194,GCF_000365185.1,Chinese Lotus 1.1,38.5,38871,refseq,planta,122,100
Nesogale talazaci,79,8,4,2,"ERV,HAT,L1,PIGGYBAC,RTE,SINE,TC1MARINER,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",114,6697,887.3037974683544,516,47.64146230972833,48.0,GCA_004026705.1,MicTal_v1_BIUU,43.0,56946,refseq,animal,784,641
Galeopterus variegatus,79,5,4,2,"ERV,L1,LTR,TC1MARINER,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",97,6040,1445.7721518987341,557,49.60712795183811,49.047619047619044,GCF_000696425.1,G_variegatus-3.0.2,40.0,20753,refseq,animal,481,393
Chaetorhynchus papuensis,78,6,4,2,"CR1,ERV,RTE,SINE,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",113,7128,1705.5384615384614,980,50.22750106916684,50.38387715930902,GCA_013396525.1,ASM1339652v1,42.5,96574,refseq,animal,413,338
Certhia brachydactyla,78,6,3,2,"CR1,ERV,LARD,LTR,RTE,TIR","LINE,LTR,TIR","CLASSI,CLASSII",112,4822,1119.8076923076924,649,48.73545522901942,49.85483201990875,GCA_013400355.1,ASM1340035v1,41.0,76317,refseq,animal,629,515
Donacobius atricapilla,77,7,5,2,"CR1,CRYPTON,ERV,LTR,SINE,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",123,3553,925.6753246753246,611,47.00737095354506,48.55813953488372,GCA_013397315.1,ASM1339731v1,42.0,64871,refseq,animal,771,631
Lepidurus packardi,77,14,4,2,"BELPAO,COPIA,CR1,GYPSY,HAT,HELITRON,I,LARD,LINE,MULE,P,PIFHARBINGER,R1,TC1MARINER","HELITRON,LINE,LTR,TIR","CLASSI,CLASSII",1149,12144,5340.74025974026,5395,43.28889412690931,42.1380846325167,GCA_023053545.1,LEPA1.1,41.0,1298445,refseq,animal,133,109
Cephalopterus ornatus,77,7,5,2,"CR1,CRYPTON,ERV,RTE,SINE,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",101,3324,1327.4025974025974,1104,50.68702088388082,50.505050505050505,GCA_013396775.1,ASM1339677v1,41.5,75604,refseq,animal,538,440
Glareola pratincola,76,5,3,2,"CR1,ERV,LTR,TC1MARINER,TIR","LINE,LTR,TIR","CLASSI,CLASSII",194,4473,2318.842105263158,2310,51.18277422607777,52.12569316081331,GCA_013401295.1,ASM1340129v1,42.5,39898,refseq,animal,312,255
Chroicocephalus maculipennis,76,10,5,2,"CR1,CRYPTON,ERV,HAT,MERLIN,RTE,SINE,TC1MARINER,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",120,4603,2254.5131578947367,2884,50.35419448890224,51.39088729016786,GCA_013397655.1,ASM1339765v1,42.5,39391,refseq,animal,320,262
Ixodes scapularis,76,6,3,1,"BELPAO,CR1,GYPSY,I,LINE,TRNA","LINE,LTR,SINE",CLASSI,103,5939,2878.75,3952,51.1383311804089,51.515151515151516,GCF_016920785.2,ASM1692078v2,46.0,1422263,refseq,animal,251,205
Bubo bubo,76,8,4,2,"CR1,ERV,GYPSY,HAT,KOLOBOK,LARD,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",139,8381,2738.7763157894738,2930,50.22573082496444,51.37077455416556,GCA_010303855.1,BubBub1.0,41.5,37091,refseq,animal,264,216
Habrosyne pyritoides,76,4,3,1,"BELPAO,DIRS,GYPSY,TRNA","DIRS,LTR,SINE",CLASSI,266,7852,5640.1973684210525,5674,40.6383949322381,40.430031723651744,GCA_907165245.1,ilHabPyri1.1,36.0,14121114,refseq,animal,128,104
Podilymbus podiceps,76,6,4,2,"CR1,CRYPTON,ERV,HAT,RTE,TIR","CRYPTON,LINE,LTR,TIR","CLASSI,CLASSII",122,4514,2343.9605263157896,2536,53.23088523048176,53.417214755504716,GCA_013399565.1,ASM1339956v1,42.0,35810,refseq,animal,308,252
Stercorarius parasiticus,75,5,4,2,"CR1,ERV,LTR,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",101,4135,1871.0,1748,50.89494761693145,51.33928571428571,GCA_013396915.1,ASM1339691v1,42.0,107045,refseq,animal,391,320
Eucalyptus camaldulensis,75,6,4,2,"COPIA,GYPSY,L1,MULE,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",201,9572,5474.533333333334,5517,42.46699767861537,42.26096143687269,GCA_019915185.1,ASM1991518v1,39.5,41529698,refseq,planta,133,109
Sinonovacula constricta,75,13,4,2,"ACADEM-1,CR1,HAT,I,KOLOBOK,LINE,MULE,PIFHARBINGER,PLE,RTE,SINE,TC1MARINER,TRNA","LINE,PLE,SINE,TIR","CLASSI,CLASSII",136,7101,3614.84,3644,40.8296348898423,39.889004509191814,GCA_007844125.1,ASM784412v1,35.0,976936,refseq,animal,202,165
Bombycilla garrulus,75,7,5,2,"CR1,CRYPTON,ERV,LINE,PIFHARBINGER,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",130,4168,896.4266666666666,646,48.85077747104909,49.521829521829524,GCA_013400315.1,ASM1340031v1,42.0,64047,refseq,animal,818,669
Chironomus tepperi,74,8,3,2,"BELPAO,COPIA,CR1,I,LTR,R1,RTE,TC1MARINER","LINE,LTR,TIR","CLASSI,CLASSII",881,6839,3370.945945945946,3257,43.140751185558955,44.05125076266016,GCF_022539635.2,CSIRO-AGI_Ctep_v1,32.0,1943760,refseq,animal,220,180
Microcaecilia unicolor,74,2,2,1,"DIRS,GYPSY","DIRS,LTR",CLASSI,5196,10781,6778.486486486487,6195,51.3951536015711,52.53694956574737,GCF_901765095.1,aMicUni1.1,44.0,3661507,refseq,animal,109,89
Tuber indicum,74,5,3,2,"COPIA,DIRS,GYPSY,HAT,TC1MARINER","DIRS,LTR,TIR","CLASSI,CLASSII",318,17045,4123.445945945946,4945,45.03295147295595,46.26865671641791,GCA_006112555.1,ASM611255v1,47.0,964338,refseq,hongo,180,147
Sitta europaea,74,5,4,2,"CR1,ERV,SINE,TIR,TRNA","LINE,LTR,SINE,TIR","CLASSI,CLASSII",133,3735,1258.7837837837837,936,48.41439265366091,49.32432432432432,GCA_013400255.1,ASM1340025v1,41.5,79571,refseq,animal,590,483
Mesocricetus auratus,74,5,4,2,"ALU,ERV,HAT,L1,SINE","LINE,LTR,SINE,TIR","CLASSI,CLASSII",145,5100,1345.8918918918919,490,48.0997048389602,47.94520547945205,GCF_017639785.1,BCM_Maur_2.0,42.0,9471653,refseq,animal,552,451
Bucorvus abyssinicus,74,7,3,2,"CR1,ERV,HAT,P,RTE,TC1MARINER,TIR","LINE,LTR,TIR","CLASSI,CLASSII",126,8765,3526.527027027027,4133,50.746510973580875,52.91214215202369,GCA_009769605.1,bBucAby1.pri,43.5,12039478,refseq,animal,210,172
Charadrius alexandrinus,73,8,5,2,"CR1,CRYPTON,ERV,GYPSY,KOLOBOK,PIFHARBINGER,TIR,TRNA","CRYPTON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",115,4150,2156.095890410959,2163,50.572779848054466,51.10506630397824,GCA_008711295.1,ASM871129v1,42.5,129786,refseq,animal,349,285
Trifolium pratense,73,9,5,2,"CACTA,COPIA,GYPSY,HELITRON,L1,LARD,LTR,MULE,SINE","HELITRON,LINE,LTR,SINE,TIR","CLASSI,CLASSII",122,4185,1613.7945205479452,1221,39.39061210891566,38.965153115100314,GCF_020283565.1,ARS_RC_1.1,33.5,3204466,refseq,planta,466,381
